"LOCATION_NAME","TSN","LATITUDE","LONGITUDE","PHONE","EFA_ID","ADDRESS","FACILITIES","ACCESSIBILITY","TRANSPORT_MODE"
"Dora Creek Station","226420","-33.08318747","151.5011621","02 4349 9241","10101149","Wamsley St, Dora Creek NSW 2264","Commuter car park | Emergency help point | No Opal card top up or single trip ticket sales","Stairs | This location is not wheelchair accessible | PA system for announcements | Short platforms, leave the train from the last 6 cars","Train, Bus"
"Double Bay Wharf","20281","-33.87334922","151.2425813","","10102003","Bay St, Double Bay NSW 2028","Bike racks | Emergency help point | Opal card top up or single trip ticket machine","Hearing loop | This location is not wheelchair accessible | PA system for announcements","Ferry"
"Douglas Park Station","256910","-34.18322665","150.7099378","02 4677 1402","10101300","Camden Rd, Douglas Park NSW 2569","Commuter car park | Emergency help point | Payphone | No Opal card top up or single trip ticket sales","Level crossing | This location is not wheelchair accessible | PA system for announcements | Short platforms, leave the train from the last 2 cars","Train"
"Drummoyne Wharf","20471","-33.84548995","151.1570955","","10102013","Wolseley St, Drummoyne NSW 2047","Emergency help point | No Opal card top up or single trip ticket sales","This location is wheelchair accessible | Hearing loop | Tactile surfaces | PA system for announcements","Ferry"
"Dubbo Station","28301","-32.245012","148.608182","13 22 32","10155006","Talbragar St, Dubbo NSW 2830","Commuter car park | Emergency help point | Payphone | Toilets | Wheelchair accessible car space | Baby change table | Taxi rank","This location is wheelchair accessible | Wheelchair ramp boarding assistance | PA system for announcements","Train, Coach, Taxi"
"Dulwich Grove Light Rail","220365","-33.9050373","151.1390126","","10101461","New Canternury Rd, Dulwich Hill NSW 2203","Bike racks | Emergency help point | Opal card top up or single trip ticket machine","This location is wheelchair accessible | Hearing loop | Level crossing | Lift | Stairs | Tactile surfaces | PA system for announcements","Light rail"
"Dulwich Hill Light Rail","220363","-33.91030497","151.1400854","","10101462","Bedford Cres, Dulwich Hill NSW 2203","Bike racks | Emergency help point | Opal card top up or single trip ticket machine","This location is wheelchair accessible | Hearing loop | Level crossing | Lift | Stairs | Tactile surfaces | PA system for announcements","Train, Light rail"
"Dulwich Hill Station","220310","-33.91110223","151.1409894","02 9563 7595","10101393","Wardell Rd, Dulwich Hill NSW 2203","Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible payphone","Stairs | This location is not wheelchair accessible | PA system for announcements","Train, Bus, Light rail"
"Dundas Station","211720","-33.80389397","151.0331967","02 9637 1520","10101224","Station St, Dundas NSW 2117","Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | No Opal card top up or single trip ticket sales | Wheelchair accessible car space","This location is wheelchair accessible | Hearing loop | Level crossing | Tactile surfaces | PA system for announcements","Train, Bus"
"Dungog Station","242010","-32.4022901","151.7595395","02 4962 9512","10101186","Brown St, Dungog NSW 2420","Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | No Opal card top up or single trip ticket sales | Toilets","This location is wheelchair accessible | Level crossing | Wheelchair ramp boarding assistance | Stairs | PA system for announcements","Train, Bus"
"East Hills Station","221320","-33.96160677","150.9848973","02 9563 7774","10101419","Park Rd, East Hills NSW 2213","Bike lockers | Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space","Hearing loop | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | This location is not wheelchair accessible | PA system for announcements","Train, Bus"
"East Maitland Station","232330","-32.74487523","151.5874213","02 4985 7449","10101176","Melbourne St, East Maitland NSW 2323","Commuter car park | Emergency help point | No Opal card top up or single trip ticket sales | Toilets","Stairs | This location is not wheelchair accessible | PA system for announcements","Train"
"East Richmond Station","275310","-33.60179614","150.759234","02 9851 7248","10101244","Bourke St, Richmond NSW 2753","Bike racks | Emergency help point | Kiss and ride stopping area | No Opal card top up or single trip ticket sales | Toilets | Wheelchair accessible toilet | Baby change table","This location is wheelchair accessible | Hearing loop | Level crossing | Wheelchair ramp boarding assistance | Tactile surfaces | PA system for announcements","Train, Bus"
"Eastwood Station","212210","-33.7900214","151.0822335","02 9752 8493","10101199","West Pde, Eastwood NSW 2122","Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible payphone | Wheelchair accessible toilet | Baby change table | Taxi rank","This location is wheelchair accessible | Hearing loop | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi"
"Echuca Coach Stop","35641","-36.124102","144.751933","","10150248","Echuca Moama Visitor Information Centre, Heygarth St, Echuca VIC 3564","","","Coach"
"Eden Coach Stop","25511","-37.065712","149.906725","","10150351","Twofold Arcade, Imlay St, Eden NSW 2551","","","Coach, Bus"
"Edgecliff Station","202710","-33.87925148","151.2361614","02 9379 4652","10101108","New South Head Rd, Edgecliff NSW 2027","Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible toilet (MLAK) | Baby change table | Taxi rank","Escalator | Hearing loop | Wheelchair ramp boarding assistance | Stairs | This location is not wheelchair accessible | PA system for announcements","Train, Bus, Taxi"
"Edmondson Park Station","217426","-33.9693","150.8587","02 9765 1451","10101447","Soldiers Pde, Edmondson Park NSW 2174","Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible toilet | Baby change table | Taxi rank","This location is wheelchair accessible | Hearing loop | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi"
"Emmdale Coach Stop","28361","-31.653308","144.268255","","10150186","Emmdale Roadhouse, Barrier Highway, Wilcannia NSW 2836","","","Coach"
"Emu Plains Station","275020","-33.74556778","150.6722867","02 4735 2506","10101253","Station St, Emu Plains NSW 2750","Bike lockers | Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible toilet | Baby change table","This location is wheelchair accessible | Hearing loop | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements | Short platforms, leave the train from the last 6 cars","Train, Bus"
"Engadine Station","223310","-34.06789901","151.0146529","02 9522 1224","10101353","Princes Hwy, Engadine NSW 2233","Bike lockers | Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible payphone | Wheelchair accessible toilet | Taxi rank","This location is wheelchair accessible | Hearing loop | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi"
"Epping Station","212110","-33.77284145","151.0821766","02 8878 4100","10101429","Beecroft Rd, Epping NSW 2121","Bike lockers | Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible payphone | Wheelchair accessible toilet (MLAK) | Baby change table | Taxi rank","This location is wheelchair accessible | Escalator | Hearing loop | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi"
"Erskineville Station","204310","-33.9008581","151.1853076","02 9563 7579","10101324","Swanson St, Erskineville NSW 2043","Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible toilet | Baby change table","Hearing loop | Stairs | This location is not wheelchair accessible | PA system for announcements","Train, Bus"
"Euabalong Coach Stop","28775","-33.108964","146.473193","","10150287","Lachlan St opp Royal Hotel, Euabalong NSW 2877","","","Coach"
"Euabalong West Coach Stop","28777","-33.055715","146.394249","","10150297","Uabba St at Murrin St, Euabalong West NSW 2877","","","Coach"
"Euabalong West Station","28771","-33.0548","146.3909","13 22 32","10155018","Uabba St, Euabalong West NSW 2877","","Stairs | This location is not wheelchair accessible | Short platforms, please see the train guard","Train"
"Eugowra Coach Stop","28061","-33.427064","148.369866","","10150251","Broad St at Myall St, Eugowra NSW 2806","","","Coach"
"Eungai Station","24411","-30.8497","152.9001","13 22 32","10155049","South Bank Rd, Eungai Rail NSW 2441","","This location is wheelchair accessible | Wheelchair ramp boarding assistance | PA system for announcements | Short platforms, please see the train guard","Train"
"Euston Coach Stop","27371","-34.577328","142.744641","","10150246","Murray Tce opp Euston General Store, Euston NSW 2737","","","Coach"
"Evans Head Coach Stop","24731","-29.118619","153.431145","","10150359","Evans Head Library, Woodburn St, Evans Head NSW 2473","","","Coach, Bus"
"Exeter Station","257930","-34.61377487","150.3173447","02 4868 1115","10101309","Middle Rd, Exeter NSW 2579","Emergency help point | No Opal card top up or single trip ticket sales | Toilets | Wheelchair accessible car space","Level crossing | This location is not wheelchair accessible | PA system for announcements | Short platforms, leave the train from the last 2 cars","Train, Bus"
"Exhibition Centre Light Rail","2000264","-33.87719386","151.1997027","","10101440","Darling Dr, Sydney NSW 2000","Emergency help point | No Opal card top up or single trip ticket sales","This location is wheelchair accessible | Level crossing | Stairs | Tactile surfaces | PA system for announcements","Light rail"
"Fairfield Station","216510","-33.87233065","150.9570711","02 9765 1641","10101285","The Crescent, Fairfield NSW 2165","Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible toilet | Taxi rank","This location is wheelchair accessible | Hearing loop | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi"
"Fairy Meadow Station","251910","-34.39583411","150.8961702","02 4223 5852","10101370","Elliots Rd, Fairy Meadow NSW 2519","Bike lockers | Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | No Opal card top up or single trip ticket sales | Toilets | Wheelchair accessible car space | Taxi rank","Level crossing | Stairs | Tactile surfaces | This location is not wheelchair accessible | PA system for announcements","Train, Taxi"
"Fassifern Station","228330","-32.9857882","151.5812509","02 4985 7209","10101151","Tucker Close, Fassifern NSW 2283","Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible payphone","This location is wheelchair accessible | Hearing loop | Lift | Stairs | Tactile surfaces | PA system for announcements","Train, Bus"
"Faulconbridge Station","277610","-33.69648835","150.5350339","02 4780 3906","10101260","Great Western Hwy, Faulconbridge NSW 2776","Commuter car park | Emergency help point | Kiss and ride stopping area | No Opal card top up or single trip ticket sales | Toilets | Wheelchair accessible car space","Hearing loop | Stairs | This location is not wheelchair accessible | PA system for announcements | Short platforms, leave the train from the last 6 cars","Train, Bus"
"Fish Market Light Rail","200937","-33.87091734","151.192293","","10101435","Miller St, Pyrmont NSW 2009","Emergency help point | Opal card top up or single trip ticket machine","This location is wheelchair accessible | Level crossing | Lift | Stairs | Tactile surfaces | PA system for announcements","Light rail"
"Flemington Station","214020","-33.86482229","151.0697665","02 9752 8477","10101217","The Crescent, Homebush West NSW 2140","Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Taxi rank","Hearing loop | Stairs | This location is not wheelchair accessible | PA system for announcements","Train, Bus, Taxi"
"Forbes Coach Stop","28711","-33.379132","148.01189","","10150326","Forbes Visitor Information Centre, Union St, Forbes NSW 2871","","","Coach"
"Forster Coach Stop","24281","-32.18311","152.513002","","10150029","Forster Tuncurry Visitor Information Centre, Little St, Forster NSW 2428","","","Coach"
"Forster Keys Coach Stop","24282","-32.212959","152.525439","","10150028","The Lakes Way before Cape Hawk Dr, Forster NSW 2428","","","Coach, Bus"
"Garden Island Wharf","20007","-33.85813587","151.2299226","","10102001","Potts Point NSW 2011","No Opal card top up or single trip ticket sales","This location is wheelchair accessible","Ferry"
"Gerringong Station","253420","-34.74488594","150.8175078","02 4234 1422","10101387","Grey St, Gerringong NSW 2534","Bike racks | Commuter car park | Emergency help point | Payphone | No Opal card top up or single trip ticket sales | Toilets | Wheelchair accessible car space | Wheelchair accessible payphone | Taxi rank","This location is wheelchair accessible | Tactile surfaces | PA system for announcements","Train, Taxi"
"Geurie Station","28311","-32.398277","148.830581","13 22 32","10155013","Mitchell Hwy, Geurie NSW 2818","Emergency help point","Wheelchair ramp boarding assistance | This location is not wheelchair accessible | PA system for announcements | Short platforms, please see the train guard","Train, Coach, Bus"
"Gilgandra Coach Stop","28271","-31.711945","148.665964","","10150116","Warren St before Morris St, Gilgandra NSW 2827","","","Coach"
"Girilambone Coach Stop","28318","-31.711945","148.665964","","10150263","Mitchell Hwy opposite Girilambone Country Store, Girilambone NSW 2831","","","Coach"
"Glebe Light Rail Light Rail","203781","-33.87715587","151.1873612","","10101433","Lower Avon St, Glebe NSW 2037","Emergency help point | Opal card top up or single trip ticket machine","This location is wheelchair accessible | Level crossing | Stairs | Tactile surfaces | PA system for announcements","Light rail"
"Glen Innes Coach Stop","23701","-29.7383","151.7377","","10150315","Glen Innes Visitor Information Centre, 152 Church St, Glen Innes NSW 2370","","","Coach"
"Glenbrook Station","277310","-33.76900437","150.6208342","02 4739 1753","10101255","Burfitt Pde, Glenbrook NSW 2773","Bike lockers | Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets","Hearing loop | Stairs | This location is not wheelchair accessible | PA system for announcements | Short platforms, leave the train from the last 6 cars","Train, Bus"
"Glenfield Station","216710","-33.97236827","150.8928072","02 9765 1162","10101291","Railway Pde, Glenfield NSW 2167","Bike lockers | Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible payphone | Wheelchair accessible toilet | Baby change table | Taxi rank","This location is wheelchair accessible | Hearing loop | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi"
"Gloucester Station","24221","-32.004766","151.966735","13 22 32","10155028","Bucketts Way, Gloucester NSW 2422","Commuter car park | Emergency help point | Payphone | Toilets | Wheelchair accessible toilet | Baby change table","Wheelchair ramp boarding assistance | This location is not wheelchair accessible | PA system for announcements","Train"
"Good Forest Coach Stop","2790130","-33.615754","150.112188","","10150011","Jenolan Caves Rd at Lowther Siding Rd, Lowther NSW 2790","","","Coach"
"Gordon Station","207210","-33.75600864","151.154528","02 9847 8458","10101121","St Johns Ave, Gordon NSW 2072","Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible payphone | Wheelchair accessible toilet | Taxi rank","This location is wheelchair accessible | Hearing loop | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi"
"Gosford Station","225040","-33.42388261","151.3417109","02 4349 9260","10101139","Mann St, Gosford NSW 2250","Bike lockers | Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible payphone | Wheelchair accessible toilet | Baby change table | Taxi rank","This location is wheelchair accessible | Hearing loop | Lift | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi"
"Goulburn Station","258010","-34.75846191","149.7192744","02 4828 5816","10101315","Sloane St, Goulburn NSW 2580","Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | No Opal card top up or single trip ticket sales | Toilets | Wheelchair accessible toilet | Taxi rank","Stairs | This location is not wheelchair accessible | PA system for announcements","Train, Bus, Taxi"
"Grafton Station","24601","-29.703905","152.941692","13 22 32","10155063","Crisp Ave, South Grafton NSW 2460","Commuter car park | Payphone | Toilets | Wheelchair accessible car space | Wheelchair accessible toilet | Baby change table | Taxi rank","This location is wheelchair accessible | Wheelchair ramp boarding assistance | Stairs | PA system for announcements","Train, Coach, Bus, Taxi"
"Granville Station","214240","-33.83317598","151.0124947","02 9848 9388","10101227","Bridge St, Granville NSW 2142","Bike lockers | Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible payphone | Wheelchair accessible toilet | Baby change table | Taxi rank","This location is wheelchair accessible | Hearing loop | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi"
"Gravesend Coach Stop","24011","-29.58381","150.338048","","10150278","Gravesend General Store, Railway Pde, Gravesend NSW 2401","","","Coach"
"Green Square Station","201710","-33.90606259","151.2024745","02 8337 8430","10101329","Cnr Botany Rd & O'Riordan St, Alexandria NSW 2015","Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible payphone | Wheelchair accessible toilet | Baby change table | Taxi rank","This location is wheelchair accessible | Escalator | Hearing loop | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi"
"Greenwich Point Wharf","20651","-33.84209993","151.1808023","","10102019","Lower Serpentine Rd, Greenwich NSW 2065","Emergency help point | No Opal card top up or single trip ticket sales","Hearing loop | Stairs | This location is not wheelchair accessible | PA system for announcements","Bus, Ferry"
"Grenfell Coach Stop","28101","-33.893479","148.160537","","10150036","Grenfell Motel, Main St, Grenfell NSW 2810","","","Coach"
"Grenfell Coach Stop","28101","-33.893479","148.160537","","10150036","Grenfell Motel, Main St, Grenfell NSW 2810","","","Coach"
"Greta Station","233410","-32.68662215","151.3840895","02 6543 1018","10101188","Nelson St, Greta NSW 2334","Emergency help point | No Opal card top up or single trip ticket sales","Stairs | This location is not wheelchair accessible | PA system for announcements | Short platforms, leave the train from the middle doors","Train"
"Griffith Station","26801","-34.28682","146.047734","13 22 32","10155011","Railway St, Griffith NSW 2680","Toilets | Wheelchair accessible car space | Wheelchair accessible toilet","This location is wheelchair accessible | Wheelchair ramp boarding assistance | Stairs","Train"
"Griffith Town Coach Stop","268059","-34.289098","146.050858","","10162156","Griffith Visitor Information Centre, 1 Jondaryan Ave, Griffith NSW 2680","","","Coach"
"Guildford Station","216110","-33.8545057","150.984361","02 9848 9287","10101283","Military Rd, Guildford NSW 2161","Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible toilet | Taxi rank","This location is wheelchair accessible | Hearing loop | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi"
"Gundagai Coach Stop","27222","-35.06297","148.101696","","10150255","Gundagai Visitor Information Centre, Sheridan St, Gundagai NSW 2722","","","Coach"
"Gunnedah Station","23801","-30.979376","150.247996","13 22 32","10155055","Railway Ave, Gunnedah NSW 2380","Commuter car park | Emergency help point | Toilets | Wheelchair accessible car space | Baby change table | Taxi rank","This location is wheelchair accessible | Wheelchair ramp boarding assistance | PA system for announcements","Train, Taxi"
"Gunning Station","25811","-34.779691","149.261031","13 22 32","10155030","Grovenor St, Gunning NSW 2581","Commuter car park | Toilets","This location is wheelchair accessible | Level crossing | Wheelchair ramp boarding assistance | PA system for announcements | Short platforms, please see the train guard","Train"
"Gymea Station","222710","-34.03489294","151.0854766","02 9522 1288","10101347","Gymea Bay Rd, Gymea NSW 2227","Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible payphone | Wheelchair accessible toilet | Taxi rank","This location is wheelchair accessible | Hearing loop | Lift | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi"
"Hamilton Station","230310","-32.91871348","151.7488722","02 4962 9365","10101161","Beaumont St, Hamilton NSW 2303","Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Taxi rank","This location is wheelchair accessible | Hearing loop | Level crossing | Stairs | Tactile surfaces | PA system for announcements | Short platforms, leave the train from the last 6 cars","Train, Bus, Taxi"
"Harden Station","25871","-34.553349","148.371322","13 22 32","10155003","Station St, Harden NSW 2587","Emergency help point | Toilets","Wheelchair ramp boarding assistance | PA system for announcements","Train"
"Harris Park Station","215010","-33.82326002","151.0076387","02 9848 9386","10101228","Station St, Harris Park NSW 2150","Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible toilet | Baby change table","Hearing loop | Stairs | This location is not wheelchair accessible | PA system for announcements","Train"
"Hawkesbury River Station","208310","-33.54678835","151.2265104","02 9985 7224","10101133","Dangar Rd, Brooklyn NSW 2083","Emergency help point | Kiss and ride stopping area | No Opal card top up or single trip ticket sales | Toilets","Hearing loop | Stairs | Tactile surfaces | This location is not wheelchair accessible | PA system for announcements","Train, Bus, Ferry"
"Hawks Nest Coach Stop","2324153","-32.672705","152.177658","","10150119","Hawks Nest Community Centre, Booner St, Hawks Nest NSW 2324","","","Coach"
"Hawthorne Light Rail","2040111","-33.87972548","151.1471308","","10101455","Darley Rd, Leichhardt NSW 2040","Bike racks | Emergency help point | Kiss and ride stopping area | Opal card top up or single trip ticket machine","This location is wheelchair accessible | Hearing loop | Level crossing | Tactile surfaces | PA system for announcements","Light rail"
"Hay Coach Stop","27111","-34.5205","144.837548","","10150096","Moama St at Archer St, Hay South NSW 2711","","","Coach"
"Hazelbrook Station","277910","-33.72397351","150.4546038","02 4780 3913","10101263","Railway Pde, Hazelbrook NSW 2779","Bike lockers | Commuter car park | Emergency help point | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible payphone | Taxi rank","Hearing loop | Stairs | This location is not wheelchair accessible | PA system for announcements | Short platforms, leave the train from the last 6 cars","Train, Bus, Taxi"
"Heathcote Station","223320","-34.08823661","151.0080024","02 9522 1221","10101354","Princes Hwy, Heathcote NSW 2233","Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible payphone | Taxi rank","Hearing loop | Wheelchair ramp boarding assistance | Tactile surfaces | This location is not wheelchair accessible | PA system for announcements","Train, Taxi"
"Helensburgh Station","250810","-34.17686988","150.9948249","02 4223 5864","10101356","Wilsons Creek Rd, Helensburgh NSW 2508","Bike lockers | Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible toilet | Baby change table | Taxi rank","This location is wheelchair accessible | Hearing loop | Lift | Stairs | Tactile surfaces | PA system for announcements | Short platforms, leave the train from the last 6 cars","Train, Bus, Taxi"
"Henty Station","26581","-35.517886","147.035371","13 22 32","10155029","Olympic Hwy, Henty NSW 2658","Emergency help point | Toilets","Wheelchair ramp boarding assistance | Stairs | This location is not wheelchair accessible | PA system for announcements | Short platforms, please see the train guard","Train"
"Hexham Station","232210","-32.82947029","151.6844171","02 4962 9944","10101170","Pacific Hwy, Hexham NSW 2322","Commuter car park | Emergency help point | No Opal card top up or single trip ticket sales","Stairs | This location is not wheelchair accessible | PA system for announcements | Short platforms, leave the train from the middle doors","Train"
"High Street Station","232010","-32.741449","151.5636893","02 4933 7902","10101177","High St, Maitland NSW 2320","Commuter car park | Emergency help point | Kiss and ride stopping area | No Opal card top up or single trip ticket sales","Stairs | This location is not wheelchair accessible | PA system for announcements","Train, Bus"
"Hilldale Station","242040","-32.50450378","151.6497678","02 6543 1018","10101183","Paterson Rd, Hilldale NSW 2420","Commuter car park | Emergency help point | No Opal card top up or single trip ticket sales","This location is not wheelchair accessible | PA system for announcements | Short platforms, leave the train from the middle doors","Train"
"Holsworthy Station","217310","-33.96320957","150.9568946","02 9765 1166","10101420","Macarthur Dr, Holsworthy NSW 2173","Bike lockers | Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible toilet | Taxi rank","This location is wheelchair accessible | Hearing loop | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi"
"Homebush Station","214010","-33.86673988","151.0864413","02 9752 8882","10101216","The Crescent, Homebush NSW 2140","Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Taxi rank","Hearing loop | Stairs | This location is not wheelchair accessible | PA system for announcements","Train, Bus, Taxi"
"Hornsby Station","207720","-33.70280124","151.098494","02 9847 8428","10101127","Station St, Hornsby NSW 2077","Bike lockers | Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible toilet (MLAK) | Taxi rank","This location is wheelchair accessible | Hearing loop | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi"
"Huntleys Point Wharf","211158","-33.84192145","151.1422376","","10102036","Huntleys Point Rd, Huntleys Point NSW 2111","Bike racks | Emergency help point | No Opal card top up or single trip ticket sales","Hearing loop | Stairs | Tactile surfaces | This location is not wheelchair accessible | PA system for announcements","Ferry"
"Hurlstone Park Station","219310","-33.91042225","151.1320925","02 9563 7544","10101394","Floss St, Hurlstone Park NSW 2193","Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space","Hearing loop | Stairs | This location is not wheelchair accessible | PA system for announcements","Train, Bus"
"Hurstville Station","222010","-33.96745356","151.1027571","02 9563 7568","10101339","Ormonde Pde, Hurstville NSW 2220","Bike racks | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible toilet | Taxi rank","This location is wheelchair accessible | Escalator | Hearing loop | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi"
"Iluka Coach Stop","246621","-29.408259","153.351653","","10150273","Iluka Post Office, Charles St, Iluka NSW 2466","","","Coach"
"Ingleburn Station","256510","-33.9970797","150.8649205","02 4629 0845","10101293","Stanley Rd, Ingleburn NSW 2565","Bike lockers | Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible toilet | Taxi rank","This location is wheelchair accessible | Hearing loop | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi"
"International Airport Station","202030","-33.93498823","151.1658913","02 8337 8460","10101332","Qantas Dr, International Airport, Mascot NSW 2020","Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible payphone | Wheelchair accessible toilet | Baby change table | Taxi rank","This location is wheelchair accessible | Escalator | Hearing loop | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi"
"Inverell Coach Stop","23604","-29.775287","151.110168","","10150197","Inverell Visitor Information Centre, Campbell St, Inverell NSW 2360","","","Coach"
"Ivanhoe Station","28782","-32.914304","144.311759","13 22 32","10155007","Mitchell St, Ivanhoe NSW 2878","Toilets","This location is wheelchair accessible","Train"
"Jannali Station","222620","-34.01612866","151.0646645","02 9522 1283","10101344","Cnr Jannali Ave & Mitchell Ave, Jannali NSW 2226","Bike lockers | Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible payphone | Taxi rank","Hearing loop | Stairs | Tactile surfaces | This location is not wheelchair accessible | PA system for announcements","Train, Bus, Taxi"
